epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15461.8,0.43361,0.35226,0.92782,0.99722,0.93943,0.9776,0.93787,0.25999,0.20418,0.80059,0.0005941,0.0005941,0.0005941
43,15679.4,0.41357,0.33306,0.918,0.99786,0.94386,0.9788,0.93853,0.23809,0.18945,0.79358,0.0005842,0.0005842,0.0005842
44,15878,0.42883,0.35513,0.92618,0.99509,0.94616,0.97864,0.94161,0.24502,0.20227,0.80021,0.0005743,0.0005743,0.0005743
45,16199.6,0.40963,0.33466,0.92366,0.98266,0.94884,0.97794,0.93883,0.2671,0.20535,0.8023,0.0005644,0.0005644,0.0005644
46,16877,0.42888,0.34916,0.9335,0.99157,0.944,0.97767,0.93699,0.25807,0.19864,0.80188,0.0005545,0.0005545,0.0005545
47,23722.5,0.40717,0.33565,0.91674,0.98337,0.94445,0.97629,0.94011,0.25397,0.21155,0.80635,0.0005446,0.0005446,0.0005446
48,23843,0.41172,0.33135,0.91639,0.98097,0.9367,0.97577,0.94005,0.24276,0.21105,0.79646,0.0005347,0.0005347,0.0005347
49,24041.3,0.40892,0.34156,0.90872,0.992,0.94345,0.97787,0.94192,0.24402,0.20736,0.79942,0.0005248,0.0005248,0.0005248
50,24241.7,0.41557,0.34206,0.91905,0.99488,0.95524,0.97947,0.94332,0.24481,0.19884,0.8016,0.0005149,0.0005149,0.0005149
51,24434.3,0.39191,0.321,0.90365,0.98974,0.95293,0.97979,0.94745,0.24942,0.19791,0.80236,0.000505,0.000505,0.000505
52,24626.8,0.3969,0.31104,0.90715,0.97419,0.96732,0.9799,0.94102,0.25226,0.19903,0.80703,0.0004951,0.0004951,0.0004951
53,24805,0.40198,0.33022,0.91248,0.99054,0.9518,0.97971,0.9401,0.25214,0.1981,0.80458,0.0004852,0.0004852,0.0004852
54,24982.5,0.41316,0.33248,0.91486,0.98949,0.94536,0.97946,0.94031,0.23845,0.19927,0.79899,0.0004753,0.0004753,0.0004753
55,25158.6,0.39143,0.33018,0.9088,0.99831,0.93748,0.97807,0.94195,0.2321,0.20506,0.797,0.0004654,0.0004654,0.0004654
